PSEG,Account,,,,,
A020,74 180 337 02,,,,,
A020,66 429 070 00,,,,,
A050,42 011 031 02,,,,,
A240,70 136 425 09,,,,,
A340,67 352 300 00,,,,,
A340,67 519 754 06,,,,,
A340,71 708 704 01,,,,,
A373,65 123 915 00,,,,,
A375,67 354 055 01,,,,,
A375,73 842 200 09,,,,,
A390,69 130 494 04,,,,,
A390,69 133 056 05,,,,,
A390,65 694 432 08,,,,,
A390,66 830 612 03,,,,,
A390,65 647 849 02,,,,,
A400,42 004 339 07,,,,,
A420,65 327 095 06,,,,,
A420,71 824 198 07,,,,,
A420,65 172 647 01,,,,,
A420,66 880 669 04,,,,,
A420,73 100 689 04,,,,,
A420,66 80 669 04,,,,,
A500,73 576 306 09,,,,,
B010,66 336 527 04,,,,,
B011,74 970 450 08,,,,,
B011,75 043 515 04,,,,,
B021,42 023 500 06,,,,,
B022,42 023 001 06,,,,,
B041,72 418 726 06,,,,,
B041,67 255 574 06,,,,,
B042,71 653 126 09,,,,,
B043,66 982 043 07,,,,,
B043,65 194 783 18,,,,,
B043,74 244 719 02,,,,,
B043,65 602 480 03,,,,,
B044,72 629 548 06,,,,,
B044,70 693 390 03,,,,,
B044,67 650 869 00,,,,,
C013,67 756 280 05,,,,,
C013,73 837 779 05,,,,,
C013,65 351 785 01,,,,,
C018,74 798 994 08,,,,,
C018,65 647 857 04,,,,,
C018,66 298 798 05,,,,,
D021,70 970 768 01,,,,,
D021,71 373 162 04,,,,,
D021,74 513 885 06,,,,,
D021,70 966 936 02,,,,,
D021,70 969 852 04,,,,,
D021,70 791 261 08,,,,,
D021,70 971 920 03,,,,,
D021,70 972 525 02,,,,,
D021,70 972 532 07,,,,,
D021,70 972 534 01,,,,,
D021,70 971 261 08,,,,,
D027,71 030 751 07,,,,,
D029,70 967 931 00,,,,,
D029,73 738 400 00,,,,,
D070,66 147 055 04,,,,,
D070,69 803 440 05,,,,,
D070,42 009 507 07,,,,,
D130,67 689 857 01,,,,,
D151,70 736 948 07,,,,,
D151,66 275 864 01,,,,,
D151,66 339 348 07,,,,,
D152,65 334 541 02,,,,,
D152,69 031 991 01,,,,,
D153,67 598 028 02,,,,,
D170,65 502 966 09,,,,,
D170,66 674 366 05,,,,,
D170,66 390 824 03,,,,,
D170,74 371 669 09,,,,,
D170,66 390 829 18,,,,,
D170,67 097 622 03,,,,,
D170,66 752 406 09,,,,,
D170,42 006 160 09,,,,,
D170,66 147 126 08,,,,,
D200,70 035 474 06,,,,,
D210,66 577 643 08,,,,,
M060,72 498 507 09,,,,,
M070,72 720 483 01,,,,,
M101,72 787 494 09,,,,,
M103,72 796 353 18,,,,,
M103,72 799 588 18,,,,,
M103,72 795 371 03,,,,,
M103,72 790 405 00,,,,,
M110,42 417 015 07,,,,,
M161,72 955 941 08,,,,,
M161,72 956 788 08,,,,,
M161,72 958 365 00,,,,,
M161,72 958 371 08,,,,,
M161,72 958 374 18,,,,,
M161,72 961 577 04,,,,,
M162,72 961 090 09,,,,,
M162,72 959 653 00,,,,,
M162,72 994 759 01,,,,,
M232,72 986 747 06,,,,,
M232,72 987 762 07,,,,,
M232,73 987 762 07,,,,,
M233,42 422 008 03,,,,,
M234,42 422 504 01,,,,,
M235,72 990 323 09,,,,,
M236,72 989 748 07,,,,,
M240,74 030 676 06,,,,,
M240,75 030 035 02,,,,,
M240,69 281 126 03,,,,,
M240,66 195 160 09,,,,,
M240,68 849 463 04,,,,,
M240,65 849 463 04,,,,,
Building Code,NJ AW Account,,,,,
A020,2.10025E+11,,,,,
A050,2.10028E+11,,,,,
A050,2.10028E+11,,,,,
A240,2.10026E+11,,,,,
A340,2.10027E+11,,,,,
A340,2.10027E+11,,,,,
A400,2.10023E+11,,,,,
A400,2.10023E+11,,,,,
A510,2.20025E+11,,,,,
A510,2.20025E+11,,,,,
B010,2.10025E+11,,,,,
B010,2.20033E+11,,,,,
B011,2.20033E+11,,,,,
B015,2.10025E+11,,,,,
B015,2.10025E+11,,,,,
B016,2.10025E+11,,,,,
B016,2.10026E+11,,,,,
B017,2.10026E+11,,,,,
B021,2.10024E+11,,,,,
B021,2.10024E+11,,,,,
B022,2.10024E+11,,,,,
B022,2.10024E+11,,,,,
B022,2.10024E+11,,,,,
D062,2.10025E+11,,,,,
D062,2.10025E+11,,,,,
D150,2.10027E+11,,,,,
D150,2.10026E+11,,,,,
D151,2.10022E+11,,,,,
D152,2.20014E+11,,,,,
D153,2.10026E+11,,,,,
D153,2.10026E+11,,,,,
D210,2.10024E+11,,,,,
D210,2.20027E+11,,,,,
D320,2.20011E+11,,,,,
D320,2.20011E+11,,,,,
M060,20012506022,,,,,
M060,2.20013E+11,,,,,
M110,2.20017E+11,,,,,
M110,2.20017E+11,,,,,
M232,2.20017E+11,,,,,
M234,2.20017E+11,,,,,
M234,2.20017E+11,,,,,
M235,2.20017E+11,,,,,
M240,2.20025E+11,,,,,
M240,2.20026E+11,,,,,
M240,2.20028E+11,,,,,
M240,2.20033E+11,,,,,
Bldg Code,Republic Service Accounts,,,,,
A020,3-0628-0004706,,,,,
A050/A40,3-0628-0004710,,,,,
A340,3-0628-0004712,,,,,
A390,3-0628-7003360,,,,,
A420,3-0628-0007356,,,,,
A420,3-0628-0009605,,,,,
A420,3-0628-7021873,,,,,
A500,3-0628-0010191,,,,,
A510,3-0628-0010988,,,,,
B010,3-0628-0004711,,,,,
B021,3-0628-0004707,,,,,
B040,3-0628-7005470,,,,,
B120,3-0628-0003577,,,,,
C013,3-0628-0004713,,,,,
C018,3-0628-0004714,,,,,
D020,3-0628-0004173,,,,,
D060,3-0628-0010968,,,,,
D070,3-0628-0004716,,,,,
D130,3-0628-7007172,,,,,
D150,3-0628-7006319,,,,,
D170,3-0628-7002055,,,,,
D200,3-0628-0002262,,,,,
D210,3-0628-7011436,,,,,
D220,3-0628-0004745,,,,,
M050,3-0628-0005519,,,,,
M060,3-0628-7005104,,,,,
M070,3-0628-7019058,,,,,
M100,3-0628-0004715,,,,,
M110,3-0628-0009122,,,,,
M160,3-0628-0008973,,,,,
M230,3-0628-0009146,,,,,
BLDG Code,Verizon Acct,,,,,
A050,856-770-9445,,,,,
A240,856-482-1706,,,,,
A240,856-482-5165,,,,,
A240,856-482-0893,,,,,
A340,856-751-5179,,,,,
A340,856-751-7416,,,,,
A390,856-853-2884,,,,,
A400,856-772-2586,,,,,
A420,856-396-0514,,,,,
B021,856-778-7073,,,,,
B021,856-778-5732,,,,,
C013,856-848-0072,,,,,
C018,856-848-4642,,,,,
D061,856-782-0394,,,,,
D062,856-782-0298,,,,,
D070,856-234-2396,,,,,
D130,856-845-4388,,,,,
D150,856-461-4044,,,,,
D150,856-461-1600,,,,,
D200,609-386-0104,,,,,
D220,609-625-2820,,,,,
E010,354-489-903-0,,,,,
E010,856-482-2336,,,,,
M060,856-424-8652,,,,,
M110,856-429-1238,,,,,
M110,856-429-1337,,,,,
M160,856-222-0859,,,,,
M160,856-778-2068,,,,,
M160,856-722-9765,,,,,
M160,856-866-8745,,,,,
M232,856-667-7611,,,,,
M233,856-667-6901,,,,,
M235,856-667-8122,,,,,
M236,856-667-7865,,,,,
Bldg,Woodruff Account,,,,,
A240,771552,,,,,
A340,514589,,,,,
D070,514599,,,,,
D070,514598,,,,,
D170,514591,,,,,
D170,514592,,,,,
D170,514594,,,,,
D170,771550,,,,,
D170,771549,,,,,
D200,771553,,,,,
M070,772032,,,,,
BLdg,AC ELECTRIC ACCOUNTS,,,,,
A450,5501 2031 476,,,,,
A450,5501 2031 476,,,,,
A450,5501 2031 047,,,,,
A033,5501 2030 726,,,,,
D220,5500 4457 978,,,,,
D062,5500 1824 584,,,,,
D061,5500 1824 162,,,,,
D061,5500 1823 719,,,,,
A510,5001 4556 943,,,,,
A510,5001 4556 943,,,,,
A510,5001 4556 927,,,,,
BLDG CODE,COMCAST ACCT,,,,,
A400,8499 05 160 0304053,,,,,
A400,8499 05 160 0304053,,,,,
A050,8499 05 160 0285740,,,,,
A050,8499 05 150 0285740,,,,,
M235,8499 05 146 0573821,,,,,
M233,8499 05 146 0573474,,,,,
M232,8499 05 146 0572955,,,,,
M234,8499 05 146 0569597,,,,,
M110,8499 05 146 0460268,,,,,
E010,8499 05 146 0441821,,,,,
C018,8499 05 110 0121965,,,,,
D130,8499 05 108 0137981,,,,,
